2070	1
5697	2
2279	3
4995	3
770	4
1045	5
1769	4
1653	6
1857	7
1909	8
2612	9
4971	10
4971	11
3787	2
6126	12
3238	2
1134	13
988	14
5975	15
5975	16
6389	6
3503	17
722	1
3189	18
2820	19
1219	2
1105	14
926	20
1243	21
4395	22
1722	23
2090	2
4348	24
3127	2
2320	25
381	21
381	26
6148	27
6148	15
5790	21
3549	3
5535	2
1606	28
809	15
1198	29
3375	30
1625	30
1987	31
1680	2
3913	32
3913	14
14	31
4454	33
5402	34
1569	31
5000	2
5402	35
4860	34
3335	36
3335	37
2482	27
2482	36
3085	38
3146	36
657	39
4	40
3794	41
25	40
5357	16
4939	40
3431	42
2654	42
1729	43
432	44
432	45
432	46
432	47
69	48
667	49
1127	50
3384	51
3384	52
361	53
361	54
361	55
6204	22
3047	56
3047	57
4854	58
6006	59
6006	60
6006	61
6006	62
614	63
614	64
6204	18
614	65
4626	2
273	66
3449	67
3449	68
4235	39
5235	69
1770	70
11	71
1025	72
2546	73
2827	73
3403	39
1764	74
2038	75
3714	76
1072	77
3714	70
3655	78
2556	79
4726	80
6100	81
2758	39
6115	82
3255	83
5922	2
950	84
950	85
896	86
5590	87
4986	87
4986	82
1922	88
1922	87
6084	89
6084	90
1858	2
1251	5
19	15
1422	15
1422	91
2115	27
6138	28
3510	7
5677	92
5677	87
1594	93
1594	94
1594	95
27	96
27	97
27	98
27	99
15	100
2628	27
5	101
6	101
7	102
1071	103
8	102
17	27
21	102
5671	104
1607	105
5730	106
2198	60
6042	106
125	106
3436	107
4857	108
2664	109
907	110
1851	111
1851	112
1851	37
1448	113
601	114
479	22
284	115
6146	116
6146	117
479	118
4451	119
4451	120
283	121
283	122
2043	27
5446	27
4601	10
5320	123
479	18
479	1
2962	124
3851	27
3851	125
1299	126
2008	127
2266	127
468	128
1650	129
1650	130
933	131
2714	2
2723	106
2822	2
2644	106
2678	22
2817	22
4943	132
2020	133
5883	134
5883	135
4502	136
3185	137
285	138
4261	15
4261	139
844	15
5110	1
844	91
5355	15
2052	140
2052	60
2440	141
3400	142
3400	143
5972	71
5972	67
1196	144
1771	145
2088	15
2159	15
4376	27
4376	15
3684	15
4266	27
4266	15
5225	146
4749	27
4749	15
1986	15
3932	27
3932	15
3965	15
5070	15
5070	147
463	15
1086	15
1086	148
4080	149
3670	150
1191	28
2183	2
2923	3
5858	151
2070	152
3177	153
3177	27
3177	134
2070	97
4222	154
4222	155
2368	156
4277	96
2561	68
3144	157
4277	158
3948	159
3948	160
5770	161
70	162
6299	163
4992	164
4992	3
872	165
782	45
3263	150
6101	150
691	134
2213	22
5695	166
5697	167
805	168
805	169
805	170
805	171
2213	118
805	172
4370	93
4370	96
4370	97
4370	172
4370	173
2213	1
2132	2
6356	174
2213	18
2162	18
2797	175
2481	176
2076	2
5857	177
1428	178
5915	97
2250	116
5915	179
4431	180
4431	181
6361	87
3379	182
3379	152
3379	183
4978	87
1515	45
1515	184
3682	185
5564	186
4946	18
376	11
376	3
376	187
376	188
2518	189
3178	18
4498	97
6138	68
1857	182
1847	190
1847	5
1432	136
4498	179
4357	191
5554	31
3686	192
3686	193
3686	194
3686	195
3686	196
1253	197
3686	198
3000	199
5009	200
3699	124
4357	7
2495	201
2495	202
2495	203
3027	22
4629	34
1243	116
1243	204
1243	205
1243	119
3731	106
4586	206
1197	207
1197	208
1197	209
1197	210
1197	211
1197	128
1197	212
245	68
2892	213
389	214
4845	2
831	40
3229	215
3229	107
5337	28
432	216
3776	28
1216	7
5458	217
5969	116
1216	18
1321	18
2135	3
5872	218
6218	219
2021	220
4193	22
3077	27
6051	221
870	116
4193	2
1988	94
4193	213
1988	95
4463	22
4463	97
4463	222
4463	223
3917	224
3917	60
3917	95
3860	68
2056	44
2056	225
5611	226
5611	227
5611	228
4351	2
2684	229
2550	179
4763	230
2918	231
1366	232
847	2
993	39
5440	15
1012	146
5196	15
1929	233
1042	234
522	235
4655	236
3976	106
4655	237
5281	238
1887	87
1887	82
2659	239
384	240
5412	18
2374	241
5729	134
6296	242
6296	243
5729	244
1890	24
1890	245
1890	152
1890	17
5766	246
5766	247
4366	248
5084	249
3227	20
3227	50
2982	250
1169	251
5629	18
6233	252
282	253
784	106
3689	254
1695	255
6133	18
5169	256
3307	257
3307	258
3307	259
4812	238
6133	7
5795	238
3266	260
3266	261
5641	110
3337	262
2649	87
1151	263
1151	264
1151	265
1151	266
1151	267
3103	268
660	69
5752	151
5752	269
6135	134
6135	151
6135	270
3293	93
3293	271
3293	87
3293	3
3293	272
3293	82
3293	68
4301	273
1647	83
4048	274
220	68
220	28
221	275
350	201
350	202
350	203
5909	119
1328	71
5909	276
2215	58
1902	277
1902	278
1902	279
1902	280
3184	281
3184	282
3184	283
995	102
3120	284
1259	285
4254	15
3785	15
3289	15
4181	15
838	15
4330	15
3886	286
6388	286
1016	287
4170	116
1945	288
5229	288
3372	68
3372	289
4900	80
3053	290
3053	291
3319	290
1657	292
5309	292
6180	73
2588	22
2292	293
1585	22
2400	15
6318	15
1051	294
3516	3
3474	15
2858	15
5984	15
454	15
3227	3
217	15
1784	15
4285	3
2903	15
1044	15
2128	295
311	15
4018	3
770	3
6382	296
4068	297
4071	297
1185	128
4073	297
2702	42
2702	298
2702	299
2702	300
2704	42
2704	298
2704	299
2704	300
3081	301
953	15
899	15
3244	302
2516	295
700	21
700	98
699	303
699	98
699	95
752	26
4066	297
2624	134
2624	304
4811	40
2015	295
2269	34
1838	151
1837	305
5011	83
3063	306
3233	307
35	246
35	68
35	28
3858	246
3858	272
3858	28
4076	308
2652	309
577	310
577	301
895	15
4093	311
1381	15
6362	15
1689	87
2513	238
807	27
722	97
1678	312
1725	313
2085	94
3826	314
5836	37
960	87
2074	315
4306	316
5836	242
1067	317
5133	318
997	319
997	68
997	28
1519	320
6238	98
6238	172
356	98
4791	321
4587	116
4587	119
4587	322
4587	271
4587	323
2860	45
5080	3
5108	206
5108	205
5108	98
5108	324
5108	325
5108	223
2671	308
4380	321
1254	96
1254	172
3252	326
415	144
415	327
1239	28
2900	328
4477	329
4378	329
3228	330
2364	15
4890	15
3628	45
5843	331
5843	332
4959	333
471	334
5142	96
5142	335
5142	197
5142	68
5142	325
5142	336
5142	223
504	68
2363	151
2363	269
2363	289
3712	337
4420	338
2127	339
